name,nationality,dob,highest_rank,highest_rank_year,handed,turned_pro,fav_surface,last10_win,rank,points,rank_2023,win_loss_2023,win_loss_clay_2023,win_loss_hardcourt_2023,win_loss_indoor_2023,win_loss_grass_2023,win_loss_other_2023,rank_2022,win_loss_2022,win_loss_clay_2022,win_loss_hardcourt_2022,win_loss_indoor_2022,win_loss_grass_2022,win_loss_other_2022,rank_2021,win_loss_2021,win_loss_clay_2021,win_loss_hardcourt_2021,win_loss_indoor_2021,win_loss_grass_2021,win_loss_other_2021,rank_2020,win_loss_2020,win_loss_clay_2020,win_loss_hardcourt_2020,win_loss_indoor_2020,win_loss_grass_2020,win_loss_other_2020,rank_2019,win_loss_2019,win_loss_clay_2019,win_loss_hardcourt_2019,win_loss_indoor_2019,win_loss_grass_2019,win_loss_other_2019,rank_2018,win_loss_2018,win_loss_clay_2018,win_loss_hardcourt_2018,win_loss_indoor_2018,win_loss_grass_2018,win_loss_other_2018,total_win_loss,total_win_loss_clay,total_win_loss_hardcourt,total_win_loss_indoor,total_win_loss_grass,total_win_loss_other
"Kravchenko, Pavel",Neutral,1997-11-09,,,,,,30%,-,-,2023,1/2,1/3,-,-,,,2022,0/1,-,-,-,,,2021,5/15,1/4,-,-,,,2020,1/2,-,-,-,,,2019,0/7,0/1,-,-,,,2018,4/4,-,-,-,,,14/37,2/13,1/1,0/0,,
"Pellegrino, Andrea",Italy,1997-03-23,136,.2022,Right,,Clay,50%,161,171,-,11/13,9/11,2/2,-,-,-,181,30/28,27/20,0/3,2/4,1/1,-,218,24/29,22/23,2/3,0/2,0/1,-,279,17/15,14/6,0/1,3/7,-,0/1,338,38/27,31/20,3/3,4/4,-,-,501,20/27,14/16,3/5,3/6,-,-,236/213,195/151,16/23,24/36,1/2,0/1
"Carnevale-Miino, Tommaso",Italy,2000-05-05,1857,3.2023,Right,,Clay,40%,1884,1704,2023,11/9,1/1,2/2,-,-,,2022,17/19,4/5,-,-,-,,2021,5/6,4/4,-,-,-,,2020,6/3,2/4,-,-,19/25,,2019,2/2,11/14,-,-,-,,2018,1/5,4/3,-,-,-,,43/46,26/31,2/2,0/0,19/25,
"McHugh, Aidan",Great Britain,2000-07-09,298,.2022,Right,,,60%,391,314,-,21/13,-,12/8,5/4,-,4/1,372,40/30,-,11/10,23/12,3/4,3/4,340,52/28,7/5,34/15,10/6,1/2,-,564,18/18,3/2,4/8,5/3,-,6/5,586,34/29,-,29/22,5/6,0/1,-,497,45/20,-,41/14,4/4,0/2,-,215/144,10/7,131/78,57/40,4/9,13/10
"Lane, Lewie",Germany,2001-01-02,,,Right,,Hard,60%,1159,1111,-,15/8,8/4,-,7/4,-,,1243,21/9,18/7,-,3/2,-,,-,6/12,3/6,2/5,1/1,-,,-,4/4,-,2/3,2/1,-,,-,2/4,-,2/4,-,-,,-,2/3,2/2,-,0/1,-,,52/43,33/22,6/12,13/9,0/0,
"Whitelock, Marcus",Australia,2001-11-22,,,,,,11%,-,-,2023,-,0/1,-,-,,,,,,,,,,2021,0/3,-,-,-,,,,,,,,,,2019,-,0/2,-,-,,,2018,-,1/2,-,-,,,0/3,1/5,0/0,0/0,,
"Tiurnev, Evgenii",Neutral,1997-04-08,265,.2022,Right,,,70%,792,897,-,8/3,1/1,7/2,-,-,-,628,22/13,15/8,4/3,3/2,-,-,283,24/16,9/8,0/1,15/7,-,-,418,22/9,7/3,0/2,8/3,-,7/1,439,42/27,13/9,15/12,14/6,-,-,335,51/24,21/10,10/8,20/6,-,-,295/171,110/70,62/52,116/48,0/0,7/1
"Moens, Mohamed Mostafa",Egypt,2004-11-19,,,Right,,Clay,25%,-,-,,,,,,,,2022,1/2,-,-,-,,,2021,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,1/3,0/0,0/0,0/0,,
"Jovanovski, Nicholas",Australia,1996-08-25,,,,,,50%,-,-,-,5/5,0/2,2/1,-,3/2,,1973,13/22,1/3,12/16,-,0/3,,,,,,,,,-,0/2,-,-,-,0/2,,-,3/4,-,3/4,-,-,,-,3/12,2/6,0/4,-,1/2,,27/52,4/15,17/26,0/0,6/11,
"Kaliyanda Poonacha, Niki",India,1995-04-27,605,.2019,Right,,Hard,50%,670,262,-,8/8,-,8/8,-,-,,729,28/24,0/2,28/22,-,-,,742,11/15,-,11/15,-,-,,838,5/4,1/1,4/3,-,-,,1113,7/11,4/3,3/8,-,-,,645,29/18,3/2,26/16,-,-,,129/137,21/29,108/108,0/0,0/0,
"Galoppini, Davide",Italy,1994-10-24,489,.2018,Right,,Clay,40%,771,788,-,10/12,10/12,-,-,-,,671,32/33,32/30,0/2,0/1,-,,684,32/31,31/30,-,-,1/1,,653,13/10,12/8,1/2,-,-,,637,28/27,28/27,-,-,-,,546,43/33,43/31,0/1,0/1,-,,292/248,278/234,13/11,0/2,1/1,
"Pecotic, Matija",Croatia,1989-07-03,206,.2015,Left,,Hard,50%,583,-,-,10/7,4/4,4/2,2/1,-,,831,4/3,1/1,3/2,-,-,,481,10/12,8/9,-,2/3,-,,337,17/4,2/0,14/2,1/2,-,,396,46/8,13/3,33/5,-,-,,,,,,,,,179/82,36/27,131/44,9/8,3/3,
"Ho, Ray",Chinese Taipei,2000-02-13,715,.2022,Left,,Hard,60%,742,228,-,19/13,-,19/13,-,-,,812,24/29,4/7,20/22,-,-,,1117,32/18,18/10,14/8,-,-,,1058,3/3,-,3/3,-,-,,833,17/20,7/5,10/13,0/2,-,,1222,15/11,2/1,11/8,2/2,-,,112/98,31/25,79/69,2/4,0/0,
"Caniato, Carlo Alberto",Italy,2005-10-31,,,Right,,Hard,25%,-,-,,,,,,,,2022,1/1,-,0/1,-,,,2021,-,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,1/1,0/0,0/2,0/0,,
"Xu, Weitao",China,2005-06-25,,,,,,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Obradovic, Andrea",Serbia,2004-05-18,,,,,,60%,959,-,-,12/8,9/6,3/2,-,-,,1019,16/9,16/9,-,-,-,,-,4/1,4/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,32/18,29/16,3/2,0/0,0/0,
"Aprea, Ginevra",Italy,2002-01-07,,,,,,10%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,0/5,0/3,-,-,,,2018,2/2,-,-,-,,,2/7,0/3,0/0,0/0,,
"van Rijthoven, Tim",Netherlands,1997-04-24,101,.2022,Right,,Hard,40%,154,847,-,2/3,-,1/2,0/1,-,1/0,111,38/24,2/2,3/4,25/15,8/3,-,261,37/22,7/6,14/9,16/7,-,-,344,8/8,4/5,3/2,1/1,-,-,290,37/19,2/5,19/8,16/6,-,-,476,29/16,20/9,6/3,3/4,-,-,230/135,56/41,81/42,83/48,8/3,2/1
"Reid, Josh",Australia,2001-03-23,,,Right,,Clay,20%,-,-,-,1/3,1/3,-,-,-,,1650,3/17,2/9,1/8,-,-,,-,7/16,-,7/16,-,-,,-,0/1,-,-,-,0/1,,,,,,,,,,,,,,,,11/37,3/12,8/24,0/0,0/1,
"Doria Medina Aviles, Carlos Andres",Bolivia,2006-07-12,,,Right,,Grass,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Joint, Maya",Australia,2006-04-16,,,,,,70%,1331,860,2023,2/1,-,2/1,-,,,2022,-,3/3,-,-,,,2021,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,2/1,3/4,2/1,0/0,,
